PROGRAMNAME,PROGRAMURL,CATALOGNAME,LASTUPDATED,NAME,KEYWORDS,DESCRIPTION,SKU,MANUFACTURER,MANUFACTURERID,UPC,ISBN,CURRENCY,SALEPRICE,PRICE,RETAILPRICE,FROMPRICE,BUYURL,IMPRESSIONURL,IMAGEURL,ADVERTISERCATEGORY,THIRDPARTYID,THIRDPARTYCATEGORY,AUTHOR,ARTIST,TITLE,PUBLISHER,LABEL,FORMAT,SPECIAL,GIFT,PROMOTIONALTEXT,STARTDATE,ENDDATE,OFFLINE,ONLINE,INSTOCK,CONDITION,WARRANTY,STANDARDSHIPPINGCOST
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/07/2013,Jumbo Shackles,"shackles, chains, halloween decor,","Includes 1 pair of plastic jumbo shackles. Measures approximately 5.5"" high x 36"" wide. Not for children under 14 years of age.",196325,Forum Novelties,59647,721773596476,,USD,9.99,9.99,,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FJumbo-Shackles%2F67294%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/67294.jpg?zm=250,250,1,0,0",Cemetery Props>DECOR and PROPS: Halloween Decor>Holidays: Cemetery Props,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Carter's Baby Girl Thank-You Notes (8),"baby shower, pink, stationary","Package includes (8) folded pink paper thank you notes with 8 envelopes that measure 6.75"" wide x 3.5"" high. This is an officially licensed Carter's product.",152633,Amscan,485067,048419751076,,USD,6.99,6.99,8.04,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FCarters-Baby-Girl-Thank-You-Notes-8%2F30689%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30689.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/12/2013,20' New York Cityscape Room Rolls,"fourth of july, patriotic, New Years, new year's eve, wall decor, new year's, new years,",20' New York Cityscape Room Rolls (2 count),143241,Amscan,677700,048419668022,,USD,15.83,15.83,21.99,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2F20-New-York-Cityscape-Room-Rolls%2F25000%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/25000.jpg?zm=250,250,1,0,0","Seasonal>Wall, Door and Window Decorations (cutouts/clings/scene setters/wall decals): New Year's>Holidays: Seasonal",,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/12/2013,Dr. Seuss Oh the Places You'll Go Graduation Personalized Party Theme,"Dr. Seuss Graduation Personalized Party Theme, oh the places you'll go, graduation, graduate, grad, party supplies,personalizedpartysupplies, essential pack, essential kit, essential party pack,",Dr. Seuss Graduation Personalized Party Theme,205093,,,847356046616,,USD,24.39,24.39,,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FDr-Seuss-Oh-the-Places-Youll-Go-Graduation-Personalized-Party-Theme%2F77310%2FThemeKitDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/77310.jpg?zm=250,250,1,0,0",Exclusives>ESSENTIAL KIT/PACK: Graduation>Occasions: Exclusives,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/12/2013,50 Hanging Whirls,"50 Hanging Whirls (5), oth, over the hill, adult birthday, 50th birthday",50 Hanging Whirls (5),193478,Beistle Company,57596-50,034689149347,,USD,3.19,3.19,,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2F50-Hanging-Whirls%2F73092%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/73092.jpg?zm=250,250,1,0,0",Over the Hill>Hanging Decorations: OTH (OVER THE HILL)>Birthday Party Supplies: Over the Hill,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/12/2013,Latex Crawling Zombie,"Latex Crawling Zombie, decoration, halloween prop, scary",Includes latex character.,218160,,18930,628481189306,,USD,44.99,44.99,,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FLatex-Crawling-Zombie%2F809898%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/809898.jpg?zm=250,250,1,0,0",Cemetery Props>>Holidays: Cemetery Props,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/05/2013,Rest in Peace 3-in-1 Tombstone,"cemetery, tombstone, skulls, skeletons, moss, cobb webs, black rose, death, halloween, table setting, table decoration,","Measures 21"" high x 16"" wide. Made of Styrofoam and Plastic.",197085,Party Destination,84851,762543848517,,USD,19.99,19.99,,,http://www.anrdoezrs.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FRest-in-Peace-3-in-1-Tombstone%2F67477%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/67477.jpg?zm=250,250,1,0,0",Cemetery Props>DECOR and PROPS: Yard Decor>Holidays: Cemetery Props,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/05/2013,31 Piece Graveyard Kit,"grave yard kit, cemetery kit, lawn decor","31 Piece Graveyard Kit includes: 1 - 21"" Tombstone, 2 - 12"" Tombstones, 4 - Skulls, 4 - Skeleton Hands, 11 - Bones, 2 - Black Roses, 2 - Skull Posts with 1-Chain Link, 1 - White Cloth, 1 - Bag of Spider Webbing, 1 - Bag of Moss, 1 - Bag of Stands.",197086,Party Destination,82198,762543821985,,USD,34.99,34.99,,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2F31-Piece-Graveyard-Kit%2F67478%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/67478.jpg?zm=250,250,1,0,0",Lawn Yard>DECOR and PROPS: Yard Decor>Holidays: Lawn Yard,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/05/2013,Realistic Large Crow,"crow, raven, bird, Realistic Large Crow","Crow measures 13L x 4.5W x 8H and is made of plastic, feathers and foam.",185515,Party Destination,80346,762543803462,,USD,14.99,14.99,,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FRealistic-Large-Crow%2F64295%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/64295.jpg?zm=250,250,1,0,0",Scary Creatures>DECOR and PROPS: Halloween Decor>Holidays: Scary Creatures,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/05/2013,TreeTrunk Witch,"Tree Trunk Witch, decoration, outdoor decoration, spooky, halloween, crashing witch, tree decoration, tree prop",Includes witch that looks like she crashed.,218544,Sunstar Industries,82874,762543828748,,USD,9.99,9.99,,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FTreeTrunk-Witch%2F809907%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/809907.jpg?zm=250,250,1,0,0",Lawn Yard>>Holidays: Lawn Yard,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/05/2013,Light Up Hanging Cocoon Man,"Light Up Hanging Cocoon Man, scary, halloween, decoration, prop","Includes light up hanging cocoon. Requires 3 ""AA"" batteries not included.",218540,Sunstar Industries,83919,762543839195,,USD,29.99,29.99,,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FLight-Up-Hanging-Cocoon-Man%2F809903%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/809903.jpg?zm=250,250,1,0,0",Scary Creatures>>Holidays: Scary Creatures,,,,,,,,,,,,,,,,YES,New,,4.99
